idrtr,hostname,addr_ipv4,addr_ipv6,macaddr,organization,location,switch,port,status
0,rtr_NTT,10.0.0.1,2001:7f8:68::1,00:00:00:00:00:01,Wide,NTT DATA,sw1,1,Production
1,rtr_NTT,10.0.0.2,2001:7f8:68::2,00:00:00:00:00:02,AITAC,NTT DATA,sw1,2,Production
2,rtr_NTT,10.0.0.3,2001:7f8:68::3,00:00:00:00:00:03,Wide,NTT DATA,sw2,1,Production
3,rtr_NTT,10.0.0.4,2001:7f8:68::4,00:00:00:00:00:04,AITAC,NTT DATA,sw2,2,Production
4,rtr_NTT,10.0.0.5,2001:7f8:68::5,00:00:00:00:00:05,KDDI,NTT,legacy,x,Production
5,rtr_NTT,10.0.0.6,2001:7f8:68::6,00:00:00:00:00:06,IIJ,NTT,legacy,x,Production
6,rtr_NTT,10.0.0.7,2001:7f8:68::7,00:00:00:00:00:07,KDDI,NTT,legacy,x,Production
7,rtr_NTT,10.0.0.8,2001:7f8:68::8,00:00:00:00:00:08,IIJ,NTT,legacy,x,Production


